Drug,Conc,R1,R2,R3,R4,R5,R6,mean
drug_41,0.5xMIC,0.8426,0.7865,0.7887,0.6920000000000001,0.6886,0.7524,0.7584666666666666
drug_41,1xMIC,0.6142,0.6277,0.5746,0.5943,0.5916,0.5329999999999999,0.5892333333333334
drug_41,2xMIC,0.3996,0.3011,0.3566,0.379,0.2735,0.4195,0.3548833333333333
drug_42,0.000xMIC,0.9279999999999999,0.8926,0.9256,0.9128,0.8795,0.8635,0.9003333333333333
drug_42,0.5xMIC,0.9117,0.9155,0.8944,0.8821,0.8661,0.8363,0.8843500000000001
drug_42,1xMIC,0.8841,0.4231,0.3498,0.5718,0.562,0.5053,0.54935
drug_42,2xMIC,0.3705,0.3602,0.3636,0.3983,0.3575,0.3477,0.3663
drug_43,0.000xMIC,0.8713,0.82,0.848,0.8742,0.9301,0.9229999999999999,0.8777666666666667
drug_43,0.25xMIC,0.875,0.8464,0.8554,0.7826,0.8255,0.831,0.8359833333333334
drug_43,0.5xMIC,0.8372,0.8270000000000001,0.5782,0.545,0.7173,0.4945,0.6665333333333333
drug_43,1xMIC,0.584,0.5367,0.435,0.2016,0.385,0.3598,0.4170166666666666
drug_44,0.000xMIC,0.8614,0.9031,0.8032,0.8634,0.8636,0.8782,0.8621499999999999
drug_44,0.25xMIC,1.1017,0.7679,0.8371,0.7744,0.7956,0.7663,0.8405
drug_44,0.5xMIC,0.7458,0.688,0.6638,0.6807,0.6634,0.6488,0.6817500000000001
drug_44,1xMIC,0.5277,0.4902,0.475,0.534,0.5674,0.5206,0.5191500000000001
drug_45,0.000xMIC,0.9088,0.8836,0.8364,0.8909,0.8178,0.9023,0.8733000000000001
drug_45,0.125xMIC,0.7597,0.8368,0.767,0.6861,0.8201,0.7977,0.7779000000000001
drug_45,0.25xMIC,0.7518,0.4866,0.711,0.4884,0.763,0.6934,0.6490333333333332
drug_45,0.5xMIC,0.512,0.4795,0.578,0.2017,0.1244,0.1269,0.33708333333333335
drug_46,0.000xMIC,0.8295,0.8439,0.9259999999999999,0.7599,0.8763,0.8954,0.8551666666666667
drug_46,0.125xMIC,0.8444,0.8571,0.8037,0.8243,0.8167,0.843,0.8315333333333333
drug_46,0.25xMIC,0.7995,0.7915,0.8013,0.8345,0.7909999999999999,0.815,0.8054666666666664
drug_46,0.5xMIC,0.6842,0.6224,0.6523,0.6605,0.6949,0.6915,0.6676333333333333
drug_47,0.000xMIC,0.8242,0.9079999999999999,0.9715,0.8331,0.8740000000000001,0.9356,0.8910666666666667
