,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6
strain.141,0.0,0.0,0.0,0.000863358162158378,-0.00026848089698563505,0.00012086072147293771
strain.142,1.017733543990853,0.0,0.0013084667711787694,0.0,0.0,0.0
strain.143,-0.23513024289388645,0.0,0.00040173925631630924,0.00179761900848212,0.10282181382864089,0.19143865120998443
strain.144,0.0,0.0,0.0,0.01648194606559903,-0.0001226856720110693,0.0
strain.145,-0.2857580897679798,0.0,0.018391787822798055,0.0,0.23483994654489967,0.0
strain.146,0.0,0.0,0.0,0.0,0.0,-0.26339786679095456
strain.147,0.0,0.0,0.0,0.0,0.0,-0.17381908393430712
strain.148,-0.00018378629562584145,0.0,0.0,0.009539918293182487,0.0,0.0
strain.149,0.07591161167576986,-0.07384579851437682,0.08569594548013063,0.0,0.0,-0.45573331006230994
strain.15,0.0,0.0,0.0,0.0,-2.5809292974054577e-06,0.0
strain.150,0.0,0.0,0.3554490576139651,0.0,0.0,0.01011787991227512
strain.151,-0.07862763153752403,0.0,0.17129851886837094,0.0,0.0,0.0
strain.152,0.0,0.0,-0.005675218099502051,0.0,0.6308258969195363,0.0
strain.153,0.0,0.0,0.0,-0.0019968868903902518,0.019942382483882953,0.0
strain.154,0.5747562134577788,0.0,0.0,-0.23650133039382318,-0.016551866057566984,0.17649787692661154
strain.155,-0.11378313548062917,0.0,0.02433859649358012,0.0,-0.0024877992607195503,0.0
strain.156,0.0,0.0,0.0,0.0,0.0,0.0
strain.157,0.0,0.0,-0.0013591530429407036,0.14959645999398,-0.0002489411664816235,0.007539662424054341
strain.158,0.0,0.0,0.0,0.0,0.0,0.0
strain.159,-0.17521489347822403,0.004197534341959866,0.0,-0.40558655571375113,7.616057750884461e-05,-0.9500709239800152
strain.16,-1.7468908726863066,0.0,0.18550418584019351,0.0,0.0,0.0
strain.160,0.0,0.0,0.0,0.0,0.001640457866102021,0.0
