,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6
strain.142,0.9837361422670433,0.0,8.285994652784463e-05,0.0,0.0,0.0
strain.143,-0.22761226373353083,0.0,0.0016044058901217584,0.00038146001742645673,0.13570398949244297,0.11075348020829141
strain.144,0.0,0.0,0.0,0.02826031403984441,0.0,0.0
strain.145,-0.25605931172916346,0.0,0.050466608390127586,0.0,0.24152616469267144,0.0
strain.146,0.0,0.0,0.0,0.0,0.0,-0.2834114631017824
strain.147,0.0002673321432156356,0.0,0.0,0.0,0.0,-0.18654542422959422
strain.148,0.0,0.0,0.0,0.005811493198432813,0.0,0.0
strain.149,0.09421251827359858,-0.023324067771955854,0.08056065629232534,0.0,0.0,-0.49706515274932805
strain.15,0.0,0.0,0.0,0.0,0.0,0.0
strain.150,0.0,0.0,0.36213951223026675,0.0006499198094374619,-0.00031358585398941674,0.007671049714785416
strain.151,-0.04826546783245475,0.0,0.21201892599764832,0.0,0.0,0.0
strain.152,0.0,0.0,-0.005784635834773778,0.0,0.6627471823648114,0.0
strain.153,0.0,0.0,0.0,-0.0013201998539741073,0.07706579376270097,0.0
strain.154,0.561435321294728,0.0,0.0,-0.3450945254553761,-0.021624546506978103,0.03387841484143358
strain.155,-0.12332479644106747,0.0,0.008935443081295886,0.0,-0.002619659178798643,0.0
strain.156,0.0,0.0,0.0,0.0,0.0,0.0
strain.157,0.0,0.0,0.0,0.11981772007843719,-0.00035544329821727324,0.009475069864978451
strain.158,0.0,0.0,0.0,0.0,0.0,0.0
strain.159,-0.18332192649793,0.035771370221490385,0.0,-0.42472153080548114,0.0025869452030637995,-0.9633603171949443
strain.16,-1.7164389760717054,0.0,0.116183509423089,0.0,0.0,0.0
strain.160,0.0,0.0,0.0,0.0,0.0,0.0
strain.161,0.05257877323245161,-0.08052842999549506,0.3297976634841393,0.0759644779806293,-0.0004152735161606914,-0.5231507615456253
strain.162,0.039399396026066194,0.8367481523128958,0.0,0.0,-0.0025145998503710294,0.0
strain.163,-0.5151640275936913,0.0,0.5886832654933949,0.0033218392182517145,-0.0357728074168431,0.0
strain.164,-0.12826238367949197,0.0,0.22137677430060726,-0.033353941219946545,0.0012698448219862152,0.006338892958665285
strain.165,0.0028434117416054104,0.0,0.0,0.0,0.0,-0.00296026011157663
strain.166,0.2899336513544948,0.4267080489421322,0.0,0.289668279317627,-0.0029561104457954,-0.702430121302525
strain.167,-0.26444654373119053,0.0,0.0,0.0,0.00022294547790317247,0.0
strain.168,0.0,0.0,0.0,0.0,0.0,0.0
strain.169,-1.395234359953959,-0.010020747679428786,-0.002799449641291752,0.10637431965135717,0.7298514245184863,0.22728275742737553
strain.17,-0.6232571706413085,0.0,0.5625008266524031,0.0,0.0,0.0
strain.170,1.5005791643871322,0.014786749324672178,-0.022655137603753303,-1.3104352777899335,-0.15241320976911457,0.0036457869298581343
strain.171,0.21766173677255446,9.186961051203022e-05,-1.060150162172455,-0.00022059634706485568,0.0,0.0
strain.172,0.0019862613075440974,0.0,0.1608310404560295,0.03860295661398223,-0.2150935722275288,0.0
strain.173,0.12753935874988728,0.0,0.0,0.6414726628236825,-1.1411259640694258,-0.23269988707558892
strain.174,0.03111176321367491,0.0,0.0,0.0,0.0,0.0
strain.175,9.604121683606295e-05,0.0,0.0,0.0,-0.004649187104410293,0.0
strain.176,0.0,0.0,0.0,0.0,0.0,0.0
strain.177,0.023581617006972262,0.0,0.0,0.0,0.002471148212884017,-0.002761036526715799
strain.178,0.0,-0.00840729091965161,0.0,0.0,0.0,0.0
strain.179,0.008821831994635508,-0.017571315706199384,0.0,-0.0066589495930696714,0.9011722388324411,-0.0006544108126768591
strain.18,-0.2286467877604214,0.0,0.0,0.4535187305373909,0.0,-0.09997989414309384
strain.180,0.6723267914420091,0.0,0.0,-1.2777450854290946,0.0,0.929192038690597
strain.181,-0.22445527645040628,0.0,-0.30136670487305217,-0.003014637478696835,0.8699704752542643,0.0312733313728215
strain.182,-0.06633070909279085,0.0,-0.047380157241903496,0.0,0.0,0.2221118287256391
strain.183,0.0,0.011449829669359852,0.0,-0.009519015630290227,0.0177957187582654,0.0
strain.184,-2.2672101688416997,0.0,1.3364279577586278,0.004920759839050607,0.0,-0.004352828687293145
strain.185,0.0,0.0,0.0,0.0,0.0,0.0
strain.186,0.0,0.0,0.0,-0.031789741584565136,0.0,0.0
